New (Shinjitai),Grade,English meaning,Readings
愛,4,love,アイai
案,4,plan,アンan
以,4,by means of,イi
衣,4,clothes,"イ、ころもi, koromo"
位,4,rank,"イ、くらいi, kurai"
茨 [5],4,thorn,（いばら）[6](ibara)
印,4,mark,"イン、しるしin, shirushi"
英,4,England,エイei
栄,4,prosperity,"エイ、さか-える、は-え、は-えるei, saka-eru, ha-e, ha-eru"
媛,4,princess,エンen
塩,4,salt,"エン、しおen, shio"
岡,4,hill,（おか）[6](oka)
億,4,hundred million,オクoku
加,4,add,"カ、くわ-える、くわ-わるka, kuwa-eru, kuwa-waru"
果,4,fruit,"カ、は-たす、は-てる、は-てka, ha-tasu, ha-teru, ha-te"
貨,4,freight,カka
課,4,section,カka
芽,4,bud,"ガ、めga, me"
賀,4,congratulations,ガga
改,4,reformation,"カイ、あらた-める、あらた-まるkai, arata-meru, arata-maru"
械,4,contraption,カイkai
害,4,harm,ガイgai
街,4,street,"ガイ、（カイ）、まちgai, (kai), machi"
各,4,each,"カク、おのおのkaku, onoono"
覚,4,memorize,"カク、おぼ-える、さ-ます、さ-めるkaku, obo-eru, sa-masu, sa-meru"
潟,4,lagoon,かたkata
完,4,perfect,カンkan
官,4,government official,カンkan
管,4,pipe,"カン、くだkan, kuda"
関,4,related,"カン、せき、かか-わるkan, seki, kaka-waru"
観,4,observe,カンkan
願,4,request,"ガン、ねが-うgan, nega-u"
岐,4,branch off,キki
希,4,hope,キki
季,4,seasons,キki
旗,4,national flag,"キ、はたki, hata"
器,4,container,"キ、うつわki, utsuwa"
機,4,machine,"キ、はたki, hata"
議,4,deliberation,ギgi
求,4,request,"キュウ、もと-めるkyū, moto-meru"
泣,4,cry,"キュウ、な-くkyū, na-ku"
給,4,salary,キュウkyū
挙,4,raise,"キョ、あ-げる、あ-がるkyo, a-geru, a-garu"
漁,4,fishing,"ギョ、リョウgyo, ryō"
共,4,together,"キョウ、ともkyō, tomo"
協,4,cooperation,キョウkyō
鏡,4,mirror,"キョウ、かがみkyō, kagami"
競,4,compete,"キョウ、ケイ、きそ-う、せ-るkyō, kei, kiso-u, se-ru"
極,4,poles,"キョク、ゴク、きわ-める、きわ-まる、きわ-みkyoku, goku, kiwa-meru, kiwa-maru, kiwa-mi"
熊,4,bear,くまkuma
訓,4,instruction,クンkun
軍,4,army,グンgun
郡,4,county,グンgun
群,4,flock,"グン、む-れる、む-れ、（むら）gun, mu-reru, mu-re, (mura)"
径,4,diameter,ケイkei
景,4,scenery,ケイkei
芸,4,art,ゲイgei
欠,4,lack,"ケツ、か-ける、か-くketsu, ka-keru, ka-ku"
結,4,tie,"ケツ、むす-ぶ、ゆ-う、ゆ-わえるketsu, musu-bu, yu-u, yu-waeru"
建,4,build,"ケン、（コン）、た-てる、た-つken, (kon), ta-teru, ta-tsu"
健,4,healthy,"ケン、すこ-やかken, suko-yaka"
験,4,test,"ケン、（ゲン）ken, (gen)"
固,4,hard,"コ、かた-める、かた-まる、かた-いko, kata-meru, kata-maru, kata-i"
功,4,achievement,"コウ、（ク）kō, (ku)"
好,4,like,"コウ、この-む、す-くkō, kono-mu, su-ku"
香,4,incense,"コウ、（キョウ）、か、かお-り、かお-るkō, (kyō), ka, kao-ri, kao-ru"
候,4,climate,"コウ、そうろうkō, sōrō"
康,4,health,コウkō
佐,4,help,サsa
差,4,distinction,"サ、さ-すsa, sa-su"
菜,4,vegetable,"サイ、なsai, na"
最,4,most,"サイ、もっと-もsai, motto-mo"
埼,4,cape (geography),（さい）[6](sai)
材,4,lumber,ザイzai
崎,4,promontory,さきsaki
昨,4,previous,サクsaku
札,4,tag,"サツ、ふだsatsu, fuda"
刷,4,printing,"サツ、す-るsatsu, su-ru"
察,4,guess,サツsatsu
参,4,participate,"サン、まい-るsan, mai-ru"
産,4,give birth,"サン、う-む、う-まれる、うぶsan, u-mu, u-mareru, ubu"
散,4,scatter,"サン、ち-る、ち-らす、ち-らかす、ち-らかるsan, chi-ru, chi-rasu, chi-rakasu, chi-rakaru"
残,4,remainder,"ザン、のこ-る、のこ-すzan, noko-ru, noko-su"
氏,4,family name,"シ、うじshi, uji"
司,4,director,シshi
試,4,test,"シ、こころ-みる、ため-すshi, kokoro-miru, tame-su"
児,4,child,"ジ、（ニ）ji, (ni)"
治,4,govern,"ジ、チ、おさ-める、おさ-まる、なお-る、なお-すji, chi, osa-meru, osa-maru, nao-ru, nao-su"
滋,4,nourishing,ジji
辞,4,resign,"ジ、や-めるji, ya-meru"
鹿,4,deer,"しか、（か）shika, (ka)"
失,4,lose,"シツ、うしな-うshitsu, ushina-u"
借,4,borrow,"シャク、か-りるshaku, ka-riru"
種,4,kind,"シュ、たねshu, tane"
周,4,circumference,"シュウ、まわ-りshū, mawa-ri"
祝,4,celebrate,"シュク、（シュウ）、いわ-うshuku, (shū), iwa-u"
順,4,obey,ジュンjun
初,4,first,"ショ、はじ-め、はじ-めて、はつ、うい、そ-めるsho, haji-me, haji-mete, hatsu, ui, so-meru"
松,4,pine,"ショウ、まつshō, matsu"
笑,4,laugh,"ショウ、わら-う、え-むshō, wara-u, e-mu"
唱,4,chant,"ショウ、とな-えるshō, tona-eru"
焼,4,bake,"ショウ、や-く、や-けるshō, ya-ku, ya-keru"
照,4,illuminate,"ショウ、て-る、て-らす、て-れるshō, te-ru, te-rasu, te-reru"
城,4,castle,"ジョウ、しろjō, shiro"
縄,4,straw rope,"ジョウ、なわjō, nawa"
臣,4,retainer,"シン、ジンshin, jin"
信,4,trust,シンshin
井,4,well,"セイ、（ショウ）、いsei, (shō), i"
成,4,become,"セイ、（ジョウ）、な-る、な-すsei, (jō), na-ru, na-su"
省,4,government ministry,"セイ、ショウ、かえり-みる、はぶ-くsei, shō, kaeri-miru, habu-ku"
清,4,pure,"セイ、（ショウ）、きよ-い、きよ-まる、きよ-めるsei, (shō), kiyo-i, kiyo-maru, kiyo-meru"
静,4,quiet,"セイ、（ジョウ）、しず、しず-か、しず-まる、しず-めるsei, (jō), shizu, shizu-ka, shizu-maru, shizu-meru"
席,4,seat,セキseki
積,4,accumulate,"セキ、つ-む、つ-もるseki, tsu-mu, tsu-moru"
折,4,fold,"セツ、お-る、おり、お-れるsetsu, o-ru, ori, o-reru"
節,4,node,"セツ、（セチ）、ふしsetsu, (sechi), fushi"
説,4,theory,"セツ、（ゼイ）、と-くsetsu, (zei), to-ku"
浅,4,shallow,"セン、あさ-いsen, asa-i"
戦,4,war,"セン、いくさ、たたか-うsen, ikusa, tataka-u"
選,4,choose,"セン、えら-ぶsen, era-bu"
然,4,so,"ゼン、ネンzen, nen"
争,4,conflict,"ソウ、あらそ-うsō, araso-u"
倉,4,warehouse,"ソウ、くらsō, kura"
巣,4,nest,"ソウ、すsō, su"
束,4,bundle,"ソク、たばsoku, taba"
側,4,side,"ソク、がわsoku, gawa"
続,4,continue,"ゾク、つづ-く、つづ-けるzoku, tsuzu-ku, tsuzu-keru"
卒,4,graduate,ソツsotsu
孫,4,grandchild,"ソン、まごson, mago"
帯,4,sash,"タイ、お-びる、おびtai, o-biru, obi"
隊,4,group,タイtai
達,4,attain,タツtatsu
単,4,simple,タンtan
置,4,put,"チ、お-くchi, o-ku"
仲,4,relationship,"チュウ、なかchū, naka"
沖,4,open sea,"チュウ、おきchū, oki"
兆,4,"portent, trillion","チョウ、きざ-す、きざ-しchō, kiza-su, kiza-shi"
低,4,low,"テイ、ひく-い、ひく-める、ひく-まるtei, hiku-i, hiku-meru, hiku-maru"
底,4,bottom,"テイ、そこtei, soko"
的,4,target,"テキ、まとteki, mato"
典,4,code,テンten
伝,4,transmit,"デン、つた-わる、つた-える、つた-うden, tsuta-waru, tsuta-eru, tsuta-u"
徒,4,junior,トto
努,4,toil,"ド、つと-めるdo, tsuto-meru"
灯,4,lamp,"トウ、ひtō, hi"
働,4,work,"ドウ、はたら-くdō, hatara-ku"
特,4,special,トクtoku
徳,4,benevolence,トクtoku
栃 [5],4,horse chestnut,（とち）[6](tochi)
奈,4,what,ナna
梨,4,pear tree,なしnashi
熱,4,heat,"ネツ、あつ-いnetsu, atsu-i"
念,4,thought,ネンnen
敗,4,failure,"ハイ、やぶ-れるhai, yabu-reru"
梅,4,ume (Japanese apricot),"バイ、うめbai, ume"
博,4,Dr.,"ハク、（バク）haku, (baku)"
阪,4,heights,ハンhan
飯,4,meal,"ハン、めしhan, meshi"
飛,4,fly,"ヒ、と-ぶ、と-ばすhi, to-bu, to-basu"
必,4,without fail,"ヒツ、かなら-ずhitsu, kanara-zu"
票,4,ballot,ヒョウhyō
標,4,signpost,ヒョウhyō
不,4,non-,"フ、ブfu, bu"
夫,4,husband,"フ、（フウ）、おっとfu, (fū), otto"
付,4,attach,"フ、つ-ける、つ-くfu, tsu-keru, tsu-ku"
府,4,urban prefecture,フfu
阜,4,mound,（フ）[6](fu)
富,4,rich,"フ、（フウ）、と-む、とみfu, (fū), to-mu, tomi"
副,4,vice,フクfuku
兵,4,soldier,"ヘイ、ヒョウhei, hyō"
別,4,separate,"ベツ、わか-れるbetsu, waka-reru"
辺,4,environs,"ヘン、あた-り、べhen, ata-ri, be"
変,4,change,"ヘン、か-わる、か-えるhen, ka-waru, ka-eru"
便,4,convenience,"ベン、ビン、たよ-りben, bin, tayo-ri"
包,4,wrap,"ホウ、つつ-むhō, tsutsu-mu"
法,4,method,"ホウ、（ハッ）、（ホッ）hō, (ha'), (ho')"
望,4,hope,"ボウ、モウ、のぞ-むbō, mō, nozo-mu"
牧,4,breed,"ボク、まきboku, maki"
末,4,end,"マツ、バツ、すえmatsu, batsu, sue"
満,4,full,"マン、み-ちる、み-たすman, mi-chiru, mi-tasu"
未,4,not yet,ミmi
民,4,people,"ミン、たみmin, tami"
無,4,nothing,"ム、ブ、な-いmu, bu, na-i"
約,4,promise,ヤクyaku
勇,4,courage,"ユウ、いさ-むyū, isa-mu"
要,4,need,"ヨウ、かなめ、い-るyō, kaname, i-ru"
養,4,foster,"ヨウ、やしな-うyō, yashina-u"
浴,4,bathe,"ヨク、あ-びる、あ-びせるyoku, a-biru, a-biseru"
利,4,profit,"リ、き-くri, ki-ku"
陸,4,land,リクriku
良,4,good,"リョウ、よ-いryō, yo-i"
料,4,fee,リョウryō
量,4,quantity,"リョウ、はか-るryō, haka-ru"
輪,4,wheel,"リン、わrin, wa"
類,4,sort,"ルイ、たぐ-いrui, tagu-i"
令,4,orders,レイrei
冷,4,cool,"レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ますrei, tsume-tai, hi-eru, hi-ya, hi-yasu, hi-yakasu, sa-meru, sa-masu"
例,4,example,"レイ、たと-えるrei, tato-eru"
連,4,take along,"レン、つら-なる、つら-ねる、つ-れるren, tsura-naru, tsura-neru, tsu-reru"
老,4,old man,"ロウ、お-いる、ふ-けるrō, o-iru, fu-keru"
労,4,labour,ロウrō
録,4,record,ロクroku
